YYYY-MM-DD,EUR-SP350
2013-01-02,1166.18
2013-02-01,1177.45
2013-03-01,1178.23
2013-04-02,1212.1
2013-05-01,1214.26
2013-06-03,1220.62
2013-07-01,1176.38
2013-08-01,1237.62
2013-09-02,1235.38
2013-10-01,1276.52
2013-11-01,1312.37
2013-12-02,1322.83
2014-01-02,1327.36
2014-02-03,1295.76
2014-03-03,1344.67
2014-04-01,1369.01
2014-05-01,1384.48
2014-06-02,1411.19
2014-07-01,1413.6
2014-08-01,1362.24
2014-09-01,1407.95
2014-10-01,1397.88
2014-11-03,1371.29
2014-12-01,1417.55
2015-01-02,1396.18
2015-02-02,1503.4
2015-03-02,1600.07
2015-04-01,1629.14
2015-05-01,1612.36
2015-06-01,1630.88
2015-07-01,1576.01
2015-08-03,1625.16
2015-09-01,1429.33
2015-10-01,1399.96
2015-11-02,1526.3
