YYYY-MM-DD,RUB-USD
2015-01-02,58.787
2015-01-05,60.169
2015-01-06,62.654
2015-01-07,63.172
2015-01-08,59.99
2015-01-09,61.949
2015-01-12,63.122
2015-01-13,65.793
2015-01-14,66.03
2015-01-15,64.742
2015-01-16,65.071
2015-01-19,64.821
2015-01-20,65.43
2015-01-21,65.298
2015-01-22,64.499
2015-01-23,63.703
2015-01-26,66.369
2015-01-27,66.94
2015-01-28,67.964
2015-01-29,69.244
2015-01-30,70.415
2015-02-02,68.47
2015-02-03,66.255
2015-02-04,67.364
2015-02-05,66.499
2015-02-06,67.076
2015-02-09,65.619
2015-02-10,66.356
2015-02-11,66.186
2015-02-12,65.486
2015-02-13,63.321
2015-02-17,62.895
2015-02-18,61.446
2015-02-19,62.089
2015-02-20,61.972
2015-02-23,63.375
2015-02-24,62.826
2015-02-25,62.033
2015-02-26,61.076
2015-02-27,61.982
2015-03-02,62.208
2015-03-03,61.919
2015-03-04,62.107
2015-03-05,60.799
2015-03-06,60.537
2015-03-09,60.364
2015-03-10,62.109
2015-03-11,62.142
2015-03-12,61.161
2015-03-13,61.701
2015-03-16,62.39
2015-03-17,61.656
2015-03-18,61.076
2015-03-19,59.747
2015-03-20,59.523
2015-03-23,58.788
2015-03-24,57.814
2015-03-25,57.69
2015-03-26,57.128
2015-03-27,57.839
2015-03-30,57.809
2015-03-31,58.179
2015-04-01,57.589
2015-04-02,56.613
2015-04-06,55.367
2015-04-07,55.135
2015-04-08,53.682
2015-04-09,52.68
2015-04-10,52.283
2015-04-13,52.64
2015-04-14,51.16
2015-04-15,50.219
2015-04-16,50.148
2015-04-17,52.44
2015-04-20,53.293
2015-04-21,53.482
2015-04-22,52.62
2015-04-23,50.974
2015-04-24,51.118
2015-04-27,51.731
2015-04-28,51.328
2015-04-29,51.02
2015-04-30,51.658
2015-05-01,51.837
2015-05-04,52.113
2015-05-05,50.61
2015-05-06,50.585
2015-05-07,50.099
2015-05-08,50.918
2015-05-11,51.554
2015-05-12,50.155
2015-05-13,49
2015-05-14,50.113
2015-05-15,49.587
2015-05-19,49.437
2015-05-20,49.947
2015-05-21,49.943
2015-05-22,49.951
2015-05-25,50.098
2015-05-26,50.838
2015-05-27,51.762
2015-05-28,52.712
2015-05-29,52.418
2015-06-01,53.359
2015-06-02,53.135
2015-06-03,54.164
2015-06-04,56.001
2015-06-05,56.486
2015-06-08,56.165
2015-06-09,55.557
2015-06-10,54.327
2015-06-11,54.778
2015-06-12,54.733
2015-06-15,54.527
2015-06-16,53.679
2015-06-17,54.173
2015-06-18,53.338
2015-06-19,54.212
2015-06-22,53.753
2015-06-23,54.137
2015-06-24,54.619
2015-06-25,54.609
2015-06-26,54.929
2015-06-29,55.525
2015-06-30,55.465
2015-07-02,55.504
2015-07-03,55.921
2015-07-06,56.543
2015-07-07,57.362
2015-07-08,57.436
2015-07-09,57.183
2015-07-10,56.536
2015-07-13,56.544
2015-07-14,56.457
2015-07-15,56.891
2015-07-16,56.601
2015-07-17,56.959
2015-07-20,56.889
2015-07-21,56.921
2015-07-22,57.132
2015-07-23,57.578
2015-07-24,58.486
2015-07-27,59.429
2015-07-28,60.13
2015-07-29,59.007
2015-07-30,59.452
2015-07-31,61.225
2015-08-04,62.98
2015-08-05,63.319
2015-08-06,64.534
2015-08-07,63.979
2015-08-10,63.256
2015-08-11,64.356
2015-08-12,64.286
2015-08-13,64.807
2015-08-14,64.615
2015-08-17,65.259
2015-08-18,65.826
2015-08-19,66.322
2015-08-20,67.111
2015-08-21,68.771
2015-08-24,70.847
2015-08-25,68.927
2015-08-26,69.323
2015-08-27,66.417
2015-08-28,65.461
2015-08-31,65.202
2015-09-01,66.36
2015-09-02,67.534
2015-09-03,66.932
2015-09-04,67.547
2015-09-08,68.051
2015-09-09,68.16
2015-09-10,67.686
2015-09-11,67.769
2015-09-14,67.326
2015-09-15,66.985
2015-09-16,65.077
2015-09-17,66.128
2015-09-18,65.999
2015-09-21,66.184
2015-09-22,66.357
2015-09-23,66.047
2015-09-24,66.357
2015-09-25,65.576
2015-09-28,65.624
2015-09-29,65.525
2015-09-30,65.4
2015-10-01,65.555
2015-10-02,66.402
2015-10-05,64.585
2015-10-06,63.688
2015-10-07,62.673
2015-10-08,62.109
2015-10-09,61.53
2015-10-13,62.674
2015-10-14,62.928
2015-10-15,62.338
2015-10-16,61.41
2015-10-19,62.221
2015-10-20,62.047
2015-10-21,62.876
2015-10-22,62.742
2015-10-23,62.338
2015-10-26,62.842
2015-10-27,64.748
2015-10-28,63.702
2015-10-29,64.181
2015-10-30,63.82
2015-11-02,64.034
2015-11-03,62.828
2015-11-04,63.106
2015-11-05,63.303
2015-11-06,64.602
2015-11-09,64.536
2015-11-10,64.489
2015-11-12,66.336
2015-11-13,66.827
2015-11-16,66.235
2015-11-17,65.027
2015-11-18,65.105
2015-11-19,64.717
2015-11-20,64.653
2015-11-23,65.508
2015-11-24,65.492
2015-11-25,65.684
2015-11-26,65.874
2015-11-27,66.435
2015-11-30,66.234
2015-12-01,66.56
2015-12-02,67.102
2015-12-03,68.059
2015-12-04,67.981
2015-12-07,69.13
2015-12-08,69.565
2015-12-09,69.398
2015-12-10,69.066
2015-12-11,69.985
2015-12-14,70.57
2015-12-15,69.934
2015-12-16,70.47
2015-12-17,70.914
2015-12-18,70.754
2015-12-21,71.232
2015-12-22,71.248
2015-12-23,69.824
2015-12-24,70.03
2015-12-29,72.324
2015-12-30,73.228
2015-12-31,73.15
2016-01-04,73.213
2016-01-05,73.3
2016-01-06,74.519
2016-01-07,74.436
2016-01-08,74.913
2016-01-11,76.044
2016-01-12,77.082
2016-01-13,76.561
2016-01-14,76.33
2016-01-15,77.69
2016-01-18,79.273
2016-01-19,78.539
2016-01-20,81.961
2016-01-21,82.76
2016-01-22,78.442
2016-01-25,79.754
2016-01-26,78.867
2016-01-27,77.543
2016-01-28,76.525
2016-01-29,75.74
2016-02-01,76.829
2016-02-02,79.01
2016-02-03,78.138
2016-02-04,76.553
2016-02-05,77.39
2016-02-08,78.428
2016-02-09,78.881
2016-02-10,78.782
2016-02-11,80.012
2016-02-12,78.519
2016-02-16,77.603
2016-02-17,75.063
2016-02-18,76.355
2016-02-19,77.403
2016-02-22,75.234
2016-02-23,76.031
2016-02-24,76.478
2016-02-25,75.796
2016-02-26,75.936
2016-02-29,75.086
2016-03-01,73.503
2016-03-02,73.515
2016-03-03,73.463
2016-03-04,71.936
2016-03-07,71.319
2016-03-08,72.806
2016-03-09,71.238
2016-03-10,71.782
2016-03-11,69.81
2016-03-14,70.783
2016-03-15,71.059
2016-03-16,70.326
2016-03-17,68.086
2016-03-18,68.111
2016-03-21,67.891
2016-03-22,67.377
2016-03-23,68.374
2016-03-24,69.399
2016-03-28,68.524
2016-03-29,68.869
2016-03-30,67.651
2016-03-31,67.242
2016-04-01,67.882
2016-04-04,68.251
2016-04-05,69.17
2016-04-06,67.897
2016-04-07,68.131
2016-04-08,67.227
2016-04-11,66.631
2016-04-12,65.636
2016-04-13,66.04
2016-04-14,66.029
2016-04-15,66.347
2016-04-18,66.262
2016-04-19,65.609
2016-04-20,65.459
2016-04-21,66.026
2016-04-22,66.46
2016-04-25,66.457
2016-04-26,65.835
2016-04-27,65.773
2016-04-28,64.394
2016-04-29,64.686
2016-05-02,65.218
2016-05-03,66.663
2016-05-04,66.584
2016-05-05,65.577
2016-05-06,65.655
2016-05-09,66.534
2016-05-10,66.253
2016-05-11,64.992
2016-05-12,65.468
2016-05-13,65.222
2016-05-16,64.955
2016-05-17,64.586
2016-05-18,65.227
2016-05-19,67.227
